Skrót nazwy placówki,Skrót nazwy jednostki,Regon placówki,Regon szkoły,RSPO placówki,Rspo,Nazwa placówki,Nazwa szkoły/ jednostki,Typ placówki,Typ jednostki,Kategoria uczniów,Jednostka specjalna,Bezpośredni nadzór,Miejscowość,Dzielnica,Miejski System Informacji,Ulica nazwa,Ulica nr,Nr Kodu,Imię dyrektora,Nazwisko dyrektora,Telefon,Faks,WWW,Strona BIP,E-mail,Numer jednostki,Placówka prowadzi internat/bursę,jednostka/zakład budż,Liczba uczniów,Liczba dzieci w oddziałach przedszkolnych,SUMA - Liczba uczniów i dzieci  ,Liczba oddziałów - uczniowie,Liczba oddziałów przedszkolnych,SUMA - Liczba oddziałów  ,Oddziały dwujęzyczne,Oddziały integracyjne,Oddziały sportowe,Oddziały mistrzostwa sportowego,Oddziały międzynarodowe,Oddziały specjalne,Oddziały specjalne przysposabiające do pracy,Oddziały terapeutyczne,Oddziały eksperymentalne,uwagi,Czy w zespole?,Typ jednostki (generalizacja),Uwzględniać na liście jednostek samodzielnych i złożonych?,Szkoły i przedszkola,samodzielna lub zespół - Czy szkoła lub przedszkole w składzie?,samodzielna lub zespół - Czy szkoła w składzie?,samodzielna lub zespół - Czy szkoła ponadpodstawowa w składzie?,samodzielna lub zespół - Czy przedszkole lub zespół z przedszkolem w składzie?,samodzielna lub zespół - Czy szkoła podstawowa (w tym muzyczna) w składzie?,samodzielna lub zespół - Czy liceum ogólnokształcące w składzie?,samodzielna lub zespół - Czy technikum w składzie?,samodzielna lub zespół - Czy branżowa szkoła I stopnia w składzie?,samodzielna lub zespół - Czy szkoła policealna w składzie?,samodzielna lub zespół - Czy jednostka specjalna w składzie?,Edukacyjna Wartość Dodana,RSPO - wyszukiwarka,obwód szkoły podstawowej,Teren działania poradni,Niepełnosprawność dominująca,"Jednostka ""przyszpitalna""",długość geograficzna,szerokość geograficzna,Wars i Sawa,"na obszarze Zintegrowanego Programu Rewitalizacji m.st. Warszaw do 2022 (Praga Północ, Praga Południe, Targówek)",Identyfikacja w systemie sprawozdawczości (ankietyBE)
SP_212,SP_212,000801912,000801912,60281,60281,Szkoła Podstawowa nr 212 im. Krystyny Krahelskiej,Szkoła Podstawowa nr 212 im. Krystyny Krahelskiej,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Stegny,ul. Czarnomorska,3,02-758,Ewa,Rozwadowska,228422287,228422287,http://www.sp212.szkolnastrona.pl,http://sp212.bip.um.warszawa.pl,sp212@edu.um.warszawa.pl,212,nie,jednostka budżetowa,570,18,588,26,1,27,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/60281,http://edukacja.warszawa.pl/download/obwody/obwody_sp__212.pdf,Poradnia Psychologiczno-Pedagogiczna nr 8,,,"21,04843521","52,18330609", certyfikat Wars i Sawa,,315
SP_214,SP_214,010409974,010409974,34499,34499,Szkoła Podstawowa z Oddziałami Integracyjnymi nr 214 im. Stanisława Skrypija,Szkoła Podstawowa z Oddziałami Integracyjnymi nr 214 im. Stanisława Skrypija,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Słodowiec,ul. Antoniego Fontany,1,01-835,Ewa,Rumińska,228346568,228348535,http://www.spnr214.pl,http://www.spnr214.pl/index.php/aktualnosci/bip,sp214@edu.um.warszawa.pl,214,nie,jednostka budżetowa,275,25,300,16,1,17,tak,tak,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/34499,http://edukacja.warszawa.pl/download/obwody/obwody_sp__214.pdf,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,94861221","52,27416221", certyfikat Wars i Sawa,,849
SP_215,SP_215,000801303,000801303,21572,21572,Szkoła Podstawowa nr 215 im. Piotra Wysockiego,Szkoła Podstawowa nr 215 im. Piotra Wysockiego,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Gocławek,ul. Kwatery Głównej,13,04-294,Małgorzata,Rydzewska,226106779,226106779,http://www.sp215.info,http://sp215.bip.um.warszawa.pl,sp215@edu.um.warszawa.pl,215,nie,jednostka budżetowa,648,21,669,30,1,31,nie,nie,tak,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/21572,http://edukacja.warszawa.pl/download/obwody/obwody_sp__215.pdf,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,11332893","52,24393111", certyfikat Wars i Sawa,,275
SP_216,SP_216,000801310,000801310,28624,28624,"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 216 ""Klonowego Liścia""","Szkoła Podstawowa z Oddziałami Integracyjnymi nr 216 ""Klonowego Liścia""",szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wawer,Miedzeszyn,ul. Wolna,36/38,04-908,Anna,Wiśniewska,222771138,222771148,http://www.sp216waw.edupage.org,https://sp216waw.edupage.org/text/?text=text/text2&subpage=6,sp216@edu.um.warszawa.pl,216,nie,jednostka budżetowa,329,124,453,17,5,22,nie,tak,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/28624,http://edukacja.warszawa.pl/download/obwody/obwody_sp__216.pdf,Poradnia Psychologiczno-Pedagogiczna nr 17,,,"21,21536255","52,17047821",,,276
SP_217,SP_217,000801326,000801326,61432,61432,"Szkoła Podstawowa nr 217 z Oddziałami Integracyjnymi im. ""Obrońców Radiostacji AK w Rembertowie""","Szkoła Podstawowa nr 217 z Oddziałami Integracyjnymi im. ""Obrońców Radiostacji AK w Rembertowie""",szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Rembertów,Stary Rembertów,ul. Ignacego Paderewskiego,45,04-450,Halina,Sawicka,226119433,226119433,http://www.sp217.pl,http://sp217.bip.um.warszawa.pl,sp217@edu.um.warszawa.pl,217,nie,jednostka budżetowa,895,25,920,41,1,42,tak,tak,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/61432,http://edukacja.warszawa.pl/download/obwody/obwody_sp__217.pdf,Poradnia Psychologiczno-Pedagogiczna nr 23,,,"21,15648842","52,26322417", certyfikat Wars i Sawa,,277
SP_218,SP_218,000801332,000801332,30878,30878,Szkoła Podstawowa nr 218 im. Michała Kajki,Szkoła Podstawowa nr 218 im. Michała Kajki,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wawer,Anin,ul. Michała Kajki,80/82,04-621,Ewa,Skiba,228120393,228120393,http://www.sp218.pl,http://www.sp218.pl/?p=main&what=353,sp218@edu.um.warszawa.pl,218,nie,jednostka budżetowa,600,26,626,26,1,27,tak,nie,nie,nie,nie,nie,nie,nie,nie,"inna lokalizacja prowadzenia zajęć dydaktycznych, wychowawczych i opiekuńczych: ul. Alpejska 16",samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/30878,http://edukacja.warszawa.pl/download/obwody/obwody_sp__218.pdf,Poradnia Psychologiczno-Pedagogiczna nr 17,,,"21,16374016","52,22097008",,,278
SP_220,SP_220,010207638,010207638,43840,43840,Szkoła Podstawowa nr 220 im. Stanisława Kopczyńskiego,Szkoła Podstawowa nr 220 im. Stanisława Kopczyńskiego,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Śródmieście Północne,Aleja Jana Pawła II,26A,00-133,Bożena,Olszewska,226202936,226202936,http://sp220.pl,http://sp220.bip.um.warszawa.pl,sp220@edu.um.warszawa.pl,220,nie,jednostka budżetowa,560,22,582,26,1,27,nie,nie,tak,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/43840,http://edukacja.warszawa.pl/download/obwody/obwody_sp__220.pdf,Poradnia Psychologiczno-Pedagogiczna nr 12,,,"20,99804497","52,23736603", certyfikat Wars i Sawa,,433
SP_221,SP_221,000800841,000800841,42185,42185,Szkoła Podstawowa nr 221 z Oddziałami Integracyjnymi im. Barbary Bronisławy Czarnowskiej,Szkoła Podstawowa nr 221 z Oddziałami Integracyjnymi im. Barbary Bronisławy Czarnowskiej,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Mirów,ul. Ogrodowa,42/44,00-876,Beata,Urbanek-Żywica,226201740,226201740,http://sp221.edu.pl,http://sp221.bip.um.warszawa.pl,sp221@edu.um.warszawa.pl,221,nie,jednostka budżetowa,462,45,507,26,2,28,nie,tak,nie,nie,nie,nie,nie,nie,nie,"inna lokalizacja prowadzenia zajęć dydaktycznych, wychowawczych i opiekuńczych: ul. Żelazna 71",samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/42185,http://edukacja.warszawa.pl/download/obwody/obwody_sp__221.pdf,Poradnia Psychologiczno – Pedagogiczna nr 6,,,"20,98673439","52,23829862",,,261
SP_222,SP_222,000800858,000800858,41455,41455,Szkoła Podstawowa nr 222 im. Jana Brzechwy,Szkoła Podstawowa nr 222 im. Jana Brzechwy,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Nowolipki,ul. Esperanto,7A,01-049,Ewa,Chłosta,228381994,228381994,http://sp222.com.pl,http://sp222.bip.um.warszawa.pl,sp222@edu.um.warszawa.pl,222,nie,jednostka budżetowa,569,47,616,26,2,28,tak,nie,tak,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/41455,http://edukacja.warszawa.pl/download/obwody/obwody_sp__222.pdf,Poradnia Psychologiczno – Pedagogiczna nr 6,,,"20,97945595","52,24561216", certyfikat Wars i Sawa,,262
SP_223,SP_223,010423773,010423773,23507,23507,Szkoła Podstawowa z Oddziałami Integracyjnymi nr 223 im. Partyzantów Ziemi Kieleckiej,Szkoła Podstawowa z Oddziałami Integracyjnymi nr 223 im. Partyzantów Ziemi Kieleckiej,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Wawrzyszew,ul. Jana Kasprowicza,107,01-823,Iwona,Żyła,228342678,228342678,https://sp223.edupage.org/text37/?,,sp223@edu.um.warszawa.pl,223,nie,jednostka budżetowa,383,30,413,22,2,24,nie,tak,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/23507,http://edukacja.warszawa.pl/download/obwody/obwody_sp__223.pdf,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,94258499","52,28437059",,,460
SP_225,SP_225,000800864,000800864,42023,42023,Szkoła Podstawowa nr 225 im. Józefa Gardeckiego,Szkoła Podstawowa nr 225 im. Józefa Gardeckiego,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Koło,ul. Jana Brożka,15,01-451,Elżbieta,Krużyńska,228361474,228361474,http://www.sp225.edu.pl,http://sp225.bip.um.warszawa.pl,sp225@edu.um.warszawa.pl,225,nie,jednostka budżetowa,616,50,666,28,2,30,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/42023,http://edukacja.warszawa.pl/download/obwody/obwody_sp__225.pdf,Poradnia Psychologiczno-Pedagogiczna nr 2,,,"20,93900108","52,24214106", certyfikat Wars i Sawa,,263
SP_231,SP_231,000801792,000801792,110251,110251,Szkoła Podstawowa nr 231 im. gen. Mariusza Zaruskiego,Szkoła Podstawowa nr 231 im. gen. Mariusza Zaruskiego,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Białołęka,Brzeziny,ul. Juranda ze Spychowa,10,03-257,Anna,Dziewulska,228110748,228110748,http://www.sp231.waw.pl,http://sp231.bip.um.warszawa.pl,sekretariat@sp231.waw.pl,231,nie,jednostka budżetowa,767,,767,34,,34,nie,tak,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/110251,http://edukacja.warszawa.pl/download/obwody/obwody_sp__231.pdf,Poradnia Psychologiczno-Pedagogiczna nr 21,,,"21,03297043","52,31636382", certyfikat Wars i Sawa,,307
SP_234,SP_234,000800870,000800870,41126,41126,Szkoła Podstawowa nr 234 im. Juliana Tuwima,Szkoła Podstawowa nr 234 im. Juliana Tuwima,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Nowolipki,ul. Esperanto,5,01-049,Hanna,Krupa,228381683,228381683,http://www.sp234.waw.pl,http://sp234.bip.um.warszawa.pl,sp234.sekretariat@edu.um.warszawa.pl,234,nie,jednostka budżetowa,436,50,486,22,2,24,nie,nie,tak,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/41126,http://edukacja.warszawa.pl/download/obwody/obwody_sp__234.pdf,Poradnia Psychologiczno – Pedagogiczna nr 6,,,"20,98040199","52,24420926", certyfikat Wars i Sawa,,264
SP_236,SP_236,000800887,000800887,41649,41649,Szkoła Podstawowa nr 236 z Oddziałami Integracyjnymi im. Ireny Sendlerowej,Szkoła Podstawowa nr 236 z Oddziałami Integracyjnymi im. Ireny Sendlerowej,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Ulrychów,ul. Elekcyjna,21/23,01-128,Magdalena,Księżopolska,228364764,228364029,http://sp236gim61.neostrada.pl,http://sp236.bip.um.warszawa.pl,sp236@edu.um.warszawa.pl,236,nie,jednostka budżetowa,360,42,402,18,2,20,nie,tak,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/41649,http://edukacja.warszawa.pl/download/obwody/obwody_sp__236.pdf,Poradnia Psychologiczno-Pedagogiczna nr 2,,,"20,94771194","52,23418895",,,862
SP_238,SP_238,000800893,000800893,40898,40898,Szkoła Podstawowa nr 238 im. Christo Botewa,Szkoła Podstawowa nr 238 im. Christo Botewa,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Ulrychów,ul. Redutowa,37,01-106,Małgorzata,Jarosik,228367942,228367942,http://sp238.warszawa.pl,http://www.sp238.warszawa.pl/bip/index.html,sp238@edu.um.warszawa.pl,238,nie,jednostka budżetowa,512,73,585,22,3,25,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/40898,http://edukacja.warszawa.pl/download/obwody/obwody_sp__238.pdf,Poradnia Psychologiczno-Pedagogiczna nr 2,,,"20,94069099","52,23359336",,,265
SP_246,SP_246,000801349,000801349,21969,21969,Szkoła Podstawowa nr 246 im. I Warszawskiej Dywizji Piechoty im. T. Kościuszki,Szkoła Podstawowa nr 246 im. I Warszawskiej Dywizji Piechoty im. T. Kościuszki,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Grochów,ul. Białowieska,22,04-063,Adam,Zaporski,222771457,,http://www.sp246.waw.pl,http://www.sp246.waw.pl/index.php?option=com_content&view=article&layout=edit&id=53,sp246@edu.um.warszawa.pl,246,nie,jednostka budżetowa,628,23,651,28,1,29,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/21969,http://edukacja.warszawa.pl/download/obwody/obwody_sp__246.pdf,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,09249496","52,23822424",,,279
SP_247,SP_247,010410180,010410180,23508,23508,"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 247 im. Kazimierza Lisieckiego ""Dziadka""","Szkoła Podstawowa z Oddziałami Integracyjnymi nr 247 im. Kazimierza Lisieckiego ""Dziadka""",szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Wrzeciono,ul. Wrzeciono,9,01-951,Marta,Butryn,228341249,228341249,http://www.sp247.pl,http://www.sp247.pl/index.php/component/content/article/103-bip,sp247@edu.um.warszawa.pl,247,nie,jednostka budżetowa,357,32,389,22,2,24,nie,tak,nie,nie,nie,tak,nie,nie,nie,"inna lokalizacja prowadzenia zajęć dydaktycznych, wychowawczych i opiekuńczych: ul. Wrzeciono 24",samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/23508,http://edukacja.warszawa.pl/download/obwody/obwody_sp__247.pdf,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,93824387","52,28969336",,,445
SP_255,SP_255,000801378,000801378,23880,23880,Szkoła Podstawowa nr 255 im. Cypriana Kamila Norwida,Szkoła Podstawowa nr 255 im. Cypriana Kamila Norwida,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Kamionek,ul. Kamionkowska,36/44,03-805,Małgorzata,Wiaderna,228107367,228107367,https://sp255.edupage.org/,http://sp255.bip.um.warszawa.pl,sp255@edu.um.warszawa.pl,255,nie,jednostka budżetowa,691,12,703,31,1,32,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/23880,http://edukacja.warszawa.pl/download/obwody/obwody_sp__255.pdf,Poradnia Psychologiczno-Pedagogiczna nr 4,,,"21,06526566","52,24728023", certyfikat Wars i Sawa,tak,280
SP_257,SP_257,000801600,000801600,110252,110252,Szkoła Podstawowa nr 257 im. prof. Mariana Falskiego,Szkoła Podstawowa nr 257 im. prof. Mariana Falskiego,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Białołęka,Henryków,ul. Podróżnicza,11,03-111,Beata,Pergałowska,228112440,228112440,http://www.sp257.edu.pl,http://sp257.bip.um.warszawa.pl,sp257@edu.um.warszawa.pl,257,nie,jednostka budżetowa,627,32,659,30,2,32,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/110252,http://edukacja.warszawa.pl/download/obwody/obwody_sp__257.pdf,Poradnia Psychologiczno-Pedagogiczna nr 21,,,"20,9731617","52,3262206", certyfikat Wars i Sawa,,297
SP_258,SP_258,000801616,000801616,21312,21312,Szkoła Podstawowa nr 258 im. gen. Jakuba Jasińskiego,Szkoła Podstawowa nr 258 im. gen. Jakuba Jasińskiego,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Północ,Nowa Praga,ul. Bertolta Brechta,8,03-472,Jadwiga,Buler,226192385,226192385,http://www.sp258.edu.pl,http://sp258.bip.um.warszawa.pl,sekretariat@sp258.edu.pl,258,nie,jednostka budżetowa,752,42,794,37,2,39,tak,nie,tak,nie,nie,nie,nie,nie,nie,filia szkoły podstawowej: ul. Namysłowska 1,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/21312,http://edukacja.warszawa.pl/download/obwody/obwody_sp__258.pdf,Poradnia Psychologiczno-Pedagogiczna nr 5,,,"21,03203392","52,25978852", certyfikat Wars i Sawa,tak,298
SP_260,SP_260,000801929,000801929,60285,60285,Szkoła Podstawowa nr 260 im. Jana Matejki,Szkoła Podstawowa nr 260 im. Jana Matejki,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Sielce,ul. Zakrzewska,24B,00-737,Barbara,Rosz,228416097,228411815,http://www.sp260.waw.pl,http://sp260.bip.um.warszawa.pl,sp260@edu.um.warszawa.pl,260,nie,jednostka budżetowa,313,21,334,17,1,18,nie,nie,nie,nie,nie,nie,nie,nie,nie,"inna lokalizacja prowadzenia zajęć dydaktycznych, wychowawczych i opiekuńczych: ul. Chełmska 23",samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/60285,http://edukacja.warszawa.pl/download/obwody/obwody_sp__260.pdf,Poradnia Psychologiczno-Pedagogiczna nr 8,,,"21,03998","52,20488652", certyfikat Wars i Sawa,,316
SP_263,SP_263,010408940,010408940,34507,34507,Szkoła Podstawowa nr 263 im. Powstańców Wielkopolskich,Szkoła Podstawowa nr 263 im. Powstańców Wielkopolskich,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Wrzeciono,ul. Szegedyńska,11,01-957,Monika,Gawryjołek,228345423,228345423,http://www.sp263.edu.pl,http://sp263.bip.um.warszawa.pl,sp263@edu.um.warszawa.pl,263,nie,jednostka budżetowa,628,15,643,29,1,30,nie,nie,tak,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/34507,http://edukacja.warszawa.pl/download/obwody/obwody_sp__263.pdf,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,94325066","52,29149537", certyfikat Wars i Sawa,,1018
SP_264,SP_264,000800396,000800396,23311,23311,Szkoła Podstawowa nr 264 im. Gabrieli Mistral,Szkoła Podstawowa nr 264 im. Gabrieli Mistral,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ochota,Rakowiec,ul. Walentego Skorochód-Majewskiego,17,02-104,Katarzyna,Glinka,228232438,228230173,http://sp264.superszkolna.pl,http://sp264.biposwiata.pl,sp264@edu.um.warszawa.pl,264,nie,jednostka budżetowa,592,,592,26,,26,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/23311,http://edukacja.warszawa.pl/download/obwody/obwody_sp__264.pdf,Poradnia Psychologiczno-Pedagogiczna nr 9,,,"20,9720192","52,20313763", certyfikat Wars i Sawa,,247
SP_267,SP_267,010412730,010412730,20770,20770,Szkoła Podstawowa nr 267 im. Juliusza Słowackiego,Szkoła Podstawowa nr 267 im. Juliusza Słowackiego,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Żoliborz,Sady Żoliborskie,ul. Braci Załuskich,1,01-773,Mariola,Pietroń-Ratyńska,226634849,226634849,http://www.sp267.waw.pl,http://sp267.bip.um.warszawa.pl,sp267@edu.um.warszawa.pl,267,nie,jednostka budżetowa,629,21,650,32,1,33,tak,nie,tak,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/20770,http://edukacja.warszawa.pl/download/obwody/obwody_sp__267.pdf,Poradnia Psychologiczno-Pedagogiczna nr 3,,,"20,96928215","52,2667416",,,452
SP_271,SP_271,000801958,000801958,60286,60286,Szkoła Podstawowa nr 271 im. 11 Listopada,Szkoła Podstawowa nr 271 im. 11 Listopada,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Służew,ul. Niegocińska,2,02-698,Marek,Hampel,228432611,228432611,http://www.sp271waw.edu.pl,http://sp271waw.edu.pl/bip,sp271@edu.um.warszawa.pl,271,nie,jednostka budżetowa,529,50,579,23,2,25,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/60286,http://edukacja.warszawa.pl/download/obwody/obwody_sp__271.pdf,Poradnia Psychologiczno-Pedagogiczna nr 7,,,"21,00870514","52,17422708", certyfikat Wars i Sawa,,317
SP_272,SP_272,000801964,000801964,83750,83750,Szkoła Podstawowa Sportowa nr 272 im. Eugeniusza Lokajskiego,Szkoła Podstawowa Sportowa nr 272 im. Eugeniusza Lokajskiego,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Sielce,ul. Piaseczyńska,114/116,00-765,Halina,Hajnosz,228416681,228411899,http://sportowa.waw.pl,http://bip.sportowa.waw.pl,sp272@edu.um.warszawa.pl,272,nie,jednostka budżetowa,266,,266,13,,13,nie,nie,tak,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/83750,,Poradnia Psychologiczno-Pedagogiczna nr 8,,,"21,03276062","52,19862235",,,1002
SP_273,SP_273,010412798,010412798,23509,23509,Szkoła Podstawowa nr 273 im. dr. Aleksandra Landy,Szkoła Podstawowa nr 273 im. dr. Aleksandra Landy,szkoła podstawowa,szkoła podstawowa,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Wrzeciono,ul. Józefa Balcerzaka,1,01-944,Iwona,Pyzowska,228346474,228346474,http://www.nowa.sp273.edu.pl/wordpress,http://sp273.bip.um.warszawa.pl,sp273@edu.um.warszawa.pl,273,nie,jednostka budżetowa,649,61,710,32,3,35,nie,nie,nie,nie,nie,nie,nie,nie,nie,filia szkoły podstawowej: ul. Arkuszowa 202,samodzielna,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,,https://rspo.men.gov.pl/rspo/23509,http://edukacja.warszawa.pl/download/obwody/obwody_sp__273.pdf,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,93416716","52,29265621", certyfikat Wars i Sawa,,453
